drug_name,company_name,date_granted,date_granted_source,indication,trial_id,data_as_of_date
Exagamglogene autotemcel (Casgevy),Vertex Pharmaceuticals,2020-09-22,https://www.globenewswire.com/news-release/2020/09/22/2097309/0/en/CRISPR-Therapeutics-and-Vertex-Pharmaceuticals-Announce-Priority-Medicines-PRIME-Designation-Granted-by-the-European-Medicines-Agency-EMA-to-CTX001-for-the-Treatment-of-Sickle-Cell.html,Severe sickle cell disease,NCT03745287,2026-08-11
Exagamglogene autotemcel (Casgevy),Vertex Pharmaceuticals,2021-04-26,https://www.globenewswire.com/news-release/2021/04/26/2216841/0/en/Vertex-and-CRISPR-Therapeutics-Announce-Priority-Medicines-PRIME-Designation-Granted-by-the-European-Medicines-Agency-to-CTX001-for-Transfusion-Dependent-Beta-Thalassemia.html,Transfusion-dependent beta thalassemia,NCT03745287,2026-08-11
Tabelecleucel (Ebvallo),Atara Biotherapeutics,2016-10-01,https://www.sec.gov/Archives/edgar/data/1604464/000119312517382414/d489039dex991.htm,Epstein-Barr virus-positive post-transplant lymphoproliferative disease (EBV+ PTLD),NCT03394365,2026-08-11
